"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\Dustin\Documents\DevProjects\Z+\js\animations.js", "JavaScript", 30, 2, 6, 38
"c:\Users\Dustin\Documents\DevProjects\Z+\js\main.js", "JavaScript", 124, -5, 13, 132
"c:\Users\Dustin\Documents\DevProjects\Z+\js\object-editor.js", "JavaScript", 18, 2, 1, 21
"c:\Users\Dustin\Documents\DevProjects\Z+\js\palette.js", "JavaScript", 2, 0, 0, 2
"c:\Users\Dustin\Documents\DevProjects\Z+\js\player-old.js", "JavaScript", 256, 77, 73, 406
"c:\Users\Dustin\Documents\DevProjects\Z+\js\player-stats.js", "JavaScript", 28, 0, 0, 28
"c:\Users\Dustin\Documents\DevProjects\Z+\js\player.js", "JavaScript", 104, 65, 28, 197
"c:\Users\Dustin\Documents\DevProjects\Z+\js\sprite-editor.js", "JavaScript", 2, 0, 0, 2
"c:\Users\Dustin\Documents\DevProjects\Z+\js\sprite.js", "JavaScript", 18, -9, 4, 13
"c:\Users\Dustin\Documents\DevProjects\Z+\js\toolbar.js", "JavaScript", -24, -5, -4, -33
"c:\Users\Dustin\Documents\DevProjects\Z+\js\weapons.js", "JavaScript", 36, 6, 8, 50
"Total", "-", 594, 133, 129, 856
