"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\Dustin\Documents\DevProjects\Z+\js\animations.js", "JavaScript", 30, 0, 2, 6, 38
"c:\Users\Dustin\Documents\DevProjects\Z+\js\file.js", "JavaScript", 132, 0, 39, 46, 217
"c:\Users\Dustin\Documents\DevProjects\Z+\js\main.js", "JavaScript", 464, 0, 51, 60, 575
"c:\Users\Dustin\Documents\DevProjects\Z+\js\modules\vanilla-picker.csp.css", "CSS", 0, 1, 0, 0, 1
"c:\Users\Dustin\Documents\DevProjects\Z+\js\modules\vanilla-picker.js", "JavaScript", 841, 0, 7, 164, 1012
"c:\Users\Dustin\Documents\DevProjects\Z+\js\object-editor.js", "JavaScript", 38, 0, 2, 6, 46
"c:\Users\Dustin\Documents\DevProjects\Z+\js\palette.js", "JavaScript", 101, 0, 10, 20, 131
"c:\Users\Dustin\Documents\DevProjects\Z+\js\player-old.js", "JavaScript", 256, 0, 77, 73, 406
"c:\Users\Dustin\Documents\DevProjects\Z+\js\player-stats.js", "JavaScript", 28, 0, 0, 0, 28
"c:\Users\Dustin\Documents\DevProjects\Z+\js\player.js", "JavaScript", 341, 0, 118, 87, 546
"c:\Users\Dustin\Documents\DevProjects\Z+\js\sprite-editor.js", "JavaScript", 318, 0, 30, 32, 380
"c:\Users\Dustin\Documents\DevProjects\Z+\js\sprite-sheet.js", "JavaScript", 34, 0, 4, 7, 45
"c:\Users\Dustin\Documents\DevProjects\Z+\js\sprite.js", "JavaScript", 102, 0, 16, 20, 138
"c:\Users\Dustin\Documents\DevProjects\Z+\js\toolbar.js", "JavaScript", 105, 0, 14, 21, 140
"c:\Users\Dustin\Documents\DevProjects\Z+\js\weapons.js", "JavaScript", 36, 0, 6, 8, 50
"c:\Users\Dustin\Documents\DevProjects\Z+\js\webgl.js", "JavaScript", 118, 0, 16, 30, 164
"Total", "-", 2944, 1, 392, 580, 3917
