"filename", "language", "JavaScript", "PostCSS", "comment", "blank", "total"
"c:\Users\Dustin\Documents\DevProjects\Z+\js\animations.js", "JavaScript", 30, 0, 2, 6, 38
"c:\Users\Dustin\Documents\DevProjects\Z+\js\file.js", "JavaScript", 118, 0, 49, 44, 211
"c:\Users\Dustin\Documents\DevProjects\Z+\js\main.js", "JavaScript", 919, 0, 90, 128, 1137
"c:\Users\Dustin\Documents\DevProjects\Z+\js\modules\vanilla-picker.csp.css", "PostCSS", 0, 1, 0, 0, 1
"c:\Users\Dustin\Documents\DevProjects\Z+\js\modules\vanilla-picker.js", "JavaScript", 841, 0, 7, 164, 1012
"c:\Users\Dustin\Documents\DevProjects\Z+\js\object-editor.js", "JavaScript", 70, 0, 3, 12, 85
"c:\Users\Dustin\Documents\DevProjects\Z+\js\object-functions.js", "JavaScript", 267, 0, 20, 42, 329
"c:\Users\Dustin\Documents\DevProjects\Z+\js\palette.js", "JavaScript", 101, 0, 10, 20, 131
"c:\Users\Dustin\Documents\DevProjects\Z+\js\player-stats.js", "JavaScript", 33, 0, 0, 0, 33
"c:\Users\Dustin\Documents\DevProjects\Z+\js\player.js", "JavaScript", 1035, 0, 142, 211, 1388
"c:\Users\Dustin\Documents\DevProjects\Z+\js\sprite-editor.js", "JavaScript", 318, 0, 30, 32, 380
"c:\Users\Dustin\Documents\DevProjects\Z+\js\sprite-sheet.js", "JavaScript", 45, 0, 11, 11, 67
"c:\Users\Dustin\Documents\DevProjects\Z+\js\sprite.js", "JavaScript", 102, 0, 16, 20, 138
"c:\Users\Dustin\Documents\DevProjects\Z+\js\toolbar.js", "JavaScript", 115, 0, 17, 22, 154
"c:\Users\Dustin\Documents\DevProjects\Z+\js\weapons.js", "JavaScript", 47, 0, 12, 8, 67
"c:\Users\Dustin\Documents\DevProjects\Z+\js\webgl.js", "JavaScript", 126, 0, 15, 23, 164
"Total", "-", 4167, 1, 424, 743, 5335
