"filename", "language", "JavaScript", "JSON", "HTML", "PostCSS", "comment", "blank", "total"
"c:\Users\Dustin\Documents\DevProjects\Z+\css\style.css", "PostCSS", 0, 0, 0, 703, 13, 111, 827
"c:\Users\Dustin\Documents\DevProjects\Z+\index.html", "HTML", 0, 0, 140, 0, 5, 8, 153
"c:\Users\Dustin\Documents\DevProjects\Z+\js\animations.js", "JavaScript", 30, 0, 0, 0, 2, 6, 38
"c:\Users\Dustin\Documents\DevProjects\Z+\js\file.js", "JavaScript", 144, 0, 0, 0, 49, 47, 240
"c:\Users\Dustin\Documents\DevProjects\Z+\js\main.js", "JavaScript", 1017, 0, 0, 0, 113, 139, 1269
"c:\Users\Dustin\Documents\DevProjects\Z+\js\modules\vanilla-picker.csp.css", "PostCSS", 0, 0, 0, 1, 0, 0, 1
"c:\Users\Dustin\Documents\DevProjects\Z+\js\modules\vanilla-picker.js", "JavaScript", 841, 0, 0, 0, 7, 164, 1012
"c:\Users\Dustin\Documents\DevProjects\Z+\js\object-editor.js", "JavaScript", 73, 0, 0, 0, 3, 12, 88
"c:\Users\Dustin\Documents\DevProjects\Z+\js\object-functions.js", "JavaScript", 310, 0, 0, 0, 34, 36, 380
"c:\Users\Dustin\Documents\DevProjects\Z+\js\palette.js", "JavaScript", 101, 0, 0, 0, 10, 20, 131
"c:\Users\Dustin\Documents\DevProjects\Z+\js\player-stats.js", "JavaScript", 36, 0, 0, 0, 0, 0, 36
"c:\Users\Dustin\Documents\DevProjects\Z+\js\player.js", "JavaScript", 1655, 0, 0, 0, 227, 264, 2146
"c:\Users\Dustin\Documents\DevProjects\Z+\js\sprite-editor.js", "JavaScript", 353, 0, 0, 0, 33, 32, 418
"c:\Users\Dustin\Documents\DevProjects\Z+\js\sprite-sheet.js", "JavaScript", 45, 0, 0, 0, 11, 11, 67
"c:\Users\Dustin\Documents\DevProjects\Z+\js\sprite.js", "JavaScript", 102, 0, 0, 0, 16, 20, 138
"c:\Users\Dustin\Documents\DevProjects\Z+\js\toolbar.js", "JavaScript", 118, 0, 0, 0, 18, 22, 158
"c:\Users\Dustin\Documents\DevProjects\Z+\js\weapons.js", "JavaScript", 47, 0, 0, 0, 12, 8, 67
"c:\Users\Dustin\Documents\DevProjects\Z+\js\webgl.js", "JavaScript", 126, 0, 0, 0, 15, 23, 164
"c:\Users\Dustin\Documents\DevProjects\Z+\object-functions-10-6.js", "JavaScript", 263, 0, 0, 0, 34, 35, 332
"c:\Users\Dustin\Documents\DevProjects\Z+\package-lock.json", "JSON", 0, 1829, 0, 0, 0, 1, 1830
"c:\Users\Dustin\Documents\DevProjects\Z+\package.json", "JSON", 0, 18, 0, 0, 0, 1, 19
"c:\Users\Dustin\Documents\DevProjects\Z+\player-10-6.js", "JavaScript", 1576, 0, 0, 0, 303, 249, 2128
"c:\Users\Dustin\Documents\DevProjects\Z+\player.html", "HTML", 0, 0, 22, 0, 0, 4, 26
"c:\Users\Dustin\Documents\DevProjects\Z+\test.js", "JavaScript", 105, 0, 0, 0, 4, 8, 117
"c:\Users\Dustin\Documents\DevProjects\Z+\webpack.config.js", "JavaScript", 29, 0, 0, 0, 0, 2, 31
"Total", "-", 6971, 1847, 162, 704, 909, 1223, 11816
